SND,LON,LAT,L2XCO2[ppm],L2PSUR[kPa],i1,s1,i2,s2,i3,s3
SND2018101809323001,55.260185,34.195477,405.88742,93.25822,0.00506499412577684,0.05249213557582825,0.004233241624014602,0.024451345817894776,0.009738689539284563,0.030134697503228305
SND2018101809323002,55.26685,34.187366,406.2182,92.72484,0.0060007590810617,0.05782460412116219,0.005083170523093251,0.02699921495794034,0.016959153203794604,0.03407037411768778
SND2018101809323003,55.27346,34.179176,404.2944,92.70688,0.006457451826480738,0.060296489723332986,0.0055019155277559765,0.028182278654114615,0.021559150090138236,0.035928709290642846
SND2018101809323004,55.279995,34.170937,405.8255,92.250435,0.006364076321413788,0.0597973520820493,0.005416102232990842,0.02794329008466703,0.0205557835840907,0.035551784206919755
SND2018101809323005,55.286385,34.16273,409.79953,92.22136,0.006267179237134428,0.059276054222014554,0.005327158008859975,0.027693743341214824,0.01954934733795634,0.03515902648937878
SND2018101809323006,55.292706,34.154465,412.03653,91.99434,0.0060308341052645025,0.05798981830718206,0.005110670950560989,0.027078249676532603,0.017238844896516548,0.034193925493719544
SND2018101809323007,55.29893,34.146152,405.59274,92.436424,0.007057548549317064,0.06343318915008667,0.006055706017602096,0.029685234190653362,0.02883397271442219,0.03831640859403534
SND2018101809323008,55.30507,34.13779,392.92538,92.169525,0.007702055472682104,0.06667697060377761,0.006654646767961256,0.031241415233705612,0.03837810397693744,0.04081921336375138
SND2018101809323031,55.25453,34.215458,406.9754,93.500145,0.005902734438066385,0.05728363175582908,0.004993613421323151,0.02674046486590535,0.016069419216318673,0.03366648585569708
SND2018101809323032,55.261204,34.207348,405.6274,93.493416,0.0053002202297457056,0.05386980492229153,0.004445803693822198,0.025109017179978415,0.011298131922482938,0.03114164354349857
SND2018101809323033,55.26782,34.199158,405.3628,93.55031,0.004688509726597966,0.05022858023708574,0.0038946714477046777,0.02337169408998233,0.007563908871799397,0.028495684561460854
SND2018101809323034,55.274357,34.19092,402.47586,93.19753,0.0053315673623058465,0.054051398460211265,0.004474187761369201,0.02519573723364874,0.011518237307146593,0.03127489208336308
SND2018101809323035,55.280754,34.18272,403.67938,92.95025,0.005564036238810327,0.05538405191516901,0.004685090782832217,0.02583236335210648,0.013244376525508715,0.03225642164856881
SND2018101809323036,55.287075,34.17445,407.61325,92.21651,0.005511271224948551,0.055083700811064236,0.004637158368890127,0.02568884856688509,0.012837832518706436,0.032034646366777865
SND2018101809323037,55.29331,34.16614,408.90698,92.15839,0.005446515613107829,0.054713403896384634,0.004578383256656136,0.02551193844778132,0.012350847363761727,0.03176167113061524
SND2018101809323038,55.299446,34.15778,409.64627,92.31685,0.005509770766748978,0.05507514183437983,0.004635795863492104,0.025684759168146283,0.012826400200113155,0.032028331284150585
SND2018101809323071,55.24888,34.23544,402.88428,93.62439,0.004552737403636784,0.049393251365993,0.0037730911933165946,0.02297356428880778,0.00687051227373168,0.0278957835368647
SND2018101809323072,55.255554,34.22733,404.26947,93.58967,0.005016535483744865,0.05220493663424351,0.004189547898263829,0.02431429579854306,0.00943713134795257,0.029925669220969252
SND2018101809323073,55.262173,34.219143,405.12274,93.491104,0.005057840374603815,0.05244981202513818,0.004226789205940973,0.02443114805622723,0.009693756759820316,0.03010387434994184
SND2018101809323074,55.268715,34.210907,405.28528,93.62712,0.004649257685587822,0.049988164748972115,0.0038594933243683003,0.02325709184353631,0.007358677716762953,0.02832275057684474
